Woonplaats;Woonplaats code;Ingangsdatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
't Goy;2054;;;Houten;0321;;
't Haantje;2164;;;Coevorden;0109;;
't Harde;1845;;;Elburg;0230;;
't Loo Oldebroek;3068;;;Oldebroek;0269;;
't Veld;2520;;;Niedorp;0412;;01-01-2012
't Veld;2520;;;Hollands Kroon;1911;01-01-2012;
't Waar;1895;;;Oldambt;1895;;
't Zand;2758;;;Zijpe;0476;;
1e Exloërmond;1779;;;Borger-Odoorn;1681;;
2e Exloërmond;1780;;;Borger-Odoorn;1681;;
2e Valthermond;1781;;;Borger-Odoorn;1681;;
Aadorp;1925;;;Almelo;0141;;
Aagtekerke;2774;;;Veere;0717;;
Aalden;2145;;;Coevorden;0109;;
Aalsmeer;2571;;;Aalsmeer;0358;;
Aalsmeerderbrug;1600;;;Haarlemmermeer;0394;;
Aalst;2626;;;Zaltbommel;0297;;
Aalsum;3387;;;Dongeradeel;0058;;
Aalten;1193;;;Aalten;0197;;
Aardenburg;2961;;;Sluis;1714;;
Aarlanderveen;1079;;;Alphen aan den Rijn;0484;;
Aarle-Rixtel;1445;;;Laarbeek;1659;;
Aartswoud;2788;;;Opmeer;0432;;
Abbega;2400;;;Wymbritseradiel;0683;;01-01-2011
Abbega;2400;;;Súdwest Fryslân;1900;01-01-2011;
Abbekerk;3147;;;Medemblik;0420;;
Abbenbroek;1385;;;Bernisse;0568;;
Abbenes;1608;;;Haarlemmermeer;0394;;
Abcoude;1332;;;Abcoude;0305;;01-01-2011
Abcoude;1332;;;De Ronde Venen;0736;01-01-2011;
Achlum;1364;;;Franekeradeel;0070;;
Achterveld;1063;;;Barneveld;0203;;
Achterveld;2640;;;Leusden;0327;;
Achthuizen;2131;;;Oostflakkee;0580;;
Achtmaal;3493;;;Zundert;0879;;
Acquoy;3211;01-06-2010;14-12-2011;Geldermalsen;0236;;
Acquoy;3527;24-11-2011;;Geldermalsen;0236;;
Adorp;2464;;;Winsum;0053;;
Aduard;2114;;;Zuidhorn;0056;;
Aerdenhout;2652;;;Bloemendaal;0377;;
Aerdt;2976;;;Rijnwaarden;0196;;
Afferden;2902;;;Druten;0225;;
Afferden L;1122;;;Bergen (L);0893;;
Agelo;1407;;;Dinkelland;1774;;
Akersloot;2267;;;Castricum;0383;;
Akkrum;2525;;;Boarnsterhim;0055;;
Akmarijp;2484;;;Skarsterlân;0051;;
Albergen;1283;;;Tubbergen;0183;;
Alblasserdam;2386;;;Alblasserdam;0482;;
Alde Leie;3224;;;Leeuwarderadeel;0081;;
Aldeboarn;2532;;;Boarnsterhim;0055;;
Aldtsjerk;2441;;;Tytsjerksteradiel;0737;;
Alem;1623;;;Maasdriel;0263;;
Alkmaar;2348;;;Alkmaar;0361;;
Allingawier;2301;;;Wûnseradiel;0710;;01-01-2011
Allingawier;2301;;;Súdwest Fryslân;1900;01-01-2011;
Almelo;1924;;;Almelo;0141;;
Almen;1334;;;Lochem;0262;;
Almere;1270;;;Almere;0034;;
Almkerk;3300;;;Woudrichem;0874;;
Alphen;1766;;;West Maas en Waal;0668;;
Alphen;3432;;;Alphen-Chaam;1723;;
Alphen aan den Rijn;1080;;;Alphen aan den Rijn;0484;;
Alteveer;1633;;;Noordenveld;1699;;
Alteveer;3079;;;Stadskanaal;0037;;
Alteveer;3160;;;De Wolden;1690;;
Alteveer gem Hoogeveen;1810;;;Hoogeveen;0118;;
Altforst;1767;;;West Maas en Waal;0668;;
Ambt Delden;1438;;;Hof van Twente;1735;;
Ameide;2106;;;Zederik;0707;;
Amen;1147;;;Aa en Hunze;1680;;
America;1026;;;Horst aan de Maas;1507;;
Amerongen;3337;;;Utrechtse Heuvelrug;1581;;
Amersfoort;1664;;;Amersfoort;0307;;
Ammerstol;2367;;;Bergambacht;0491;;
Ammerzoden;1624;;;Maasdriel;0263;;
Amstelhoek;1932;;07-02-2012;De Ronde Venen;0736;;
Amstelhoek;3547;07-02-2012;;De Ronde Venen;0736;;
Amstelveen;1050;;;Amstelveen;0362;;
Amstenrade;2099;;;Schinnen;0962;;
Amsterdam;1024;;;Amsterdam;0363;;
Amsterdam Zuidoost;1025;;;Amsterdam;0363;;
Andel;3301;;;Woudrichem;0874;;
Andelst;1862;;;Overbetuwe;1734;;
Anderen;1148;;;Aa en Hunze;1680;;
Andijk;1053;;;Andijk;0364;;01-01-2011
Andijk;1053;;;Medemblik;0420;01-01-2011;
Ane;1537;;;Hardenberg;0160;;
Anerveen;1538;;;Hardenberg;0160;;
Anevelde;1539;;;Hardenberg;0160;;
Angeren;3133;;;Lingewaard;1705;;
Angerlo;1299;;;Zevenaar;0299;;
Anjum;3388;;;Dongeradeel;0058;;
Ankeveen;2999;;;Wijdemeren;1696;;
Anloo;1149;;;Aa en Hunze;1680;;
Anna Paulowna;3185;;;Anna Paulowna;0366;;01-01-2012
Anna Paulowna;3185;;;Hollands Kroon;1911;01-01-2012;
Annen;1150;;;Aa en Hunze;1680;;
Annerveenschekanaal;1151;;;Aa en Hunze;1680;;
Ansen;3104;;;Westerveld;1701;;
Ansen;3161;;;De Wolden;1690;;
Apeldoorn;2247;;;Apeldoorn;0200;;
Appelscha;1753;;;Ooststellingwerf;0085;;
Appeltern;1768;;;West Maas en Waal;0668;;
Appingedam;3386;;;Appingedam;0003;;
Arcen;3140;;;Venlo;0983;;
Arkel;1432;;;Giessenlanden;0689;;
Arnemuiden;1008;;;Middelburg;0687;;
Arnhem;1296;;;Arnhem;0202;;
Arriën;2547;;;Ommen;0175;;
Arum;2302;;;Wûnseradiel;0710;;01-01-2011
Arum;2302;;;Súdwest Fryslân;1900;01-01-2011;
Asch;3370;;;Buren;0214;;
Asperen;2353;;;Lingewaal;0733;;
Assen;2391;;;Assen;0106;;
Assendelft;1878;;;Zaanstad;0479;;
Asten;2928;;;Asten;0743;;
Augsbuurt;3307;;;Kollumerland en Nieuwkruisland;0079;;
Augustinusga;3173;;;Achtkarspelen;0059;;
Austerlitz;2824;;;Zeist;0355;;
Avenhorn;1183;;;Koggenland;1598;;
Axel;1128;;;Terneuzen;0715;;
Azewijn;2202;;;Montferland;1955;;
Baaiduinen;2621;;;Terschelling;0093;;
Baaium;2008;;;Littenseradiel;0140;;
Baak;1527;;;Bronckhorst;1876;;
Baambrugge;1333;;;Abcoude;0305;;01-01-2011
Baambrugge;1333;;;De Ronde Venen;0736;01-01-2011;
Baard;2009;;;Littenseradiel;0140;;
Baarland;1251;;;Borsele;0654;;
Baarle-Nassau;2883;;;Baarle-Nassau;0744;;
Baarlo;2602;;;Peel en Maas;1894;;
Baarlo;2691;;;Steenwijkerland;1708;;
Baarn;1092;;;Baarn;0308;;
Baars;2692;;;Steenwijkerland;1708;;
Babberich;1298;;;Zevenaar;0299;;
Babyloniënbroek;1951;;;Aalburg;0738;;
Bad Nieuweschans;1420;;;Oldambt;1895;;
Badhoevedorp;1617;;;Haarlemmermeer;0394;;
Baexem;2940;;;Leudal;1640;;
Baflo;2465;;;Winsum;0053;;
Bakel;2090;;;Gemert-Bakel;1652;;
Bakhuizen;1673;;;Gaasterlân-Sleat;0653;;
Bakkeveen;3342;;;Opsterland;0086;;
Balgoij;2570;;;Wijchen;0296;;
Balinge;3005;;;Midden-Drenthe;1731;;
Balk;1674;;;Gaasterlân-Sleat;0653;;
Balkbrug;1540;;;Hardenberg;0160;;
Balloërveld;1153;;;Aa en Hunze;1680;;
Balloo;1152;;;Aa en Hunze;1680;;
Ballum;2587;;;Ameland;0060;;
Baneheide;3067;;;Simpelveld;0965;;
Banholt;1690;;;Margraten;0936;;01-01-2011
Banholt;1690;;;Eijsden-Margraten;1903;01-01-2011;
Bant;1272;;;Noordoostpolder;0171;;
Bantega;2239;;;Lemsterland;0082;;
Barchem;1335;;;Lochem;0262;;
Barendrecht;1594;;;Barendrecht;0489;;
Barger-Compascuum;1987;;;Emmen;0114;;
Barneveld;1054;;;Barneveld;0203;;
Barsingerhorn;2514;;;Niedorp;0412;;01-01-2012
Barsingerhorn;2514;;;Hollands Kroon;1911;01-01-2012;
Basse;2693;;;Steenwijkerland;1708;;
Batenburg;2568;;;Wijchen;0296;;
Bathmen;2854;;;Deventer;0150;;
Bavel;1703;;;Breda;0758;;
Bavel AC;3437;;;Alphen-Chaam;1723;;
Bears;2010;;;Littenseradiel;0140;;
Bedum;2829;;;Bedum;0005;;
Beegden;1918;;;Maasgouw;1641;;
Beek;1670;;;Beek;0888;;
Beek;2203;;;Montferland;1955;;
Beek;2872;;;Ubbergen;0282;;
Beek en Donk;1446;;;Laarbeek;1659;;
Beekbergen;2258;;;Apeldoorn;0200;;
Beemte Broekland;2254;;;Apeldoorn;0200;;
Beers NB;1449;;;Cuijk;1684;;
Beerta;1418;23-01-2008;07-04-2011;Oldambt;1895;;
Beerta;3508;07-04-2011;;Oldambt;1895;;
Beerze;2548;;;Ommen;0175;;
Beerzerveld;2549;;;Ommen;0175;;
Beesd;3213;;;Geldermalsen;0236;;
Beesel;1950;;;Beesel;0889;;
Beets;1837;;;Zeevang;0478;;
Beetsterzwaag;3343;;;Opsterland;0086;;
Beilen;3006;;;Midden-Drenthe;1731;;
Beinsdorp;1610;;;Haarlemmermeer;0394;;
Belfeld;1476;;;Venlo;0983;;
Bellingwolde;2231;;;Bellingwedde;0007;;
Beltrum;1661;;;Berkelland;1859;;
Belt-Schutsloot;2694;;;Steenwijkerland;1708;;
Bemelen;1691;;;Margraten;0936;;01-01-2011
Bemelen;1691;;;Eijsden-Margraten;1903;01-01-2011;
Bemmel;3131;;;Lingewaard;1705;;
Beneden-Leeuwen;1769;;;West Maas en Waal;0668;;
Bennebroek;1391;;03-01-2012;Bloemendaal;0377;;
Bennebroek;3533;03-01-2012;;Bloemendaal;0377;;
Bennekom;2766;;;Ede;0228;;
Benneveld;2146;;;Coevorden;0109;;
Benningbroek;3148;;;Medemblik;0420;;
Benschop;1958;;;Lopik;0331;;
Bentelo;1439;;;Hof van Twente;1735;;
Benthuizen;2853;;;Rijnwoude;1672;;
Bentveld;1306;;;Zandvoort;0473;;
Berg en Dal;2290;;;Groesbeek;0241;;
Berg en Dal;2873;;;Ubbergen;0282;;
Berg en Terblijt;1716;;;Valkenburg aan de Geul;0994;;
Bergambacht;2365;;;Bergambacht;0491;;
Bergeijk;1457;;;Bergeijk;1724;;
Bergen (NH);3047;;;Bergen (NH);0373;;
Bergen aan Zee;3046;;;Bergen (NH);0373;;
Bergen L;1121;;;Bergen (L);0893;;
Bergen op Zoom;1937;;;Bergen op Zoom;0748;;
Bergentheim;1541;;;Hardenberg;0160;;
Bergharen;2565;;;Wijchen;0296;;
Berghem;3250;;;Oss;0828;;
Bergschenhoek;1688;;;Lansingerland;1621;;
Beringe;3438;;;Peel en Maas;1894;;
Berkel en Rodenrijs;1687;;;Lansingerland;1621;;
Berkel-Enschot;1044;;;Tilburg;0855;;
Berkenwoude;2366;;;Bergambacht;0491;;
Berkhout;1184;;;Koggenland;1598;;
Berlicum;2057;;;Sint-Michielsgestel;0845;;
Berltsum;2724;;;Menaldumadeel;0083;;01-01-2011
Berltsum;2724;;;Menameradiel;1908;01-01-2011;
Bern;2627;;;Zaltbommel;0297;;
Best;1456;;;Best;0753;;
Beugen;1214;;;Boxmeer;0756;;
Beuningen;1711;;;Losser;0168;;
Beuningen Gld;2751;;;Beuningen;0209;;
Beusichem;3371;;;Buren;0214;;
Beutenaken;1230;;;Gulpen-Wittem;1729;;
Beverwijk;2735;;;Beverwijk;0375;;
Biddinghuizen;2429;;;Dronten;0303;;
Bierum;3232;;;Delfzijl;0010;;
Biervliet;1129;;;Terneuzen;0715;;
Biervliet;2975;;;Sluis;1714;;
Biest-Houtakker;1309;;;Hilvarenbeek;0798;;
Biezenmortel;1425;;;Haaren;0788;;
Biggekerke;2775;;;Veere;0717;;
Bilthoven;2935;;;De Bilt;0310;;
Bingelrade;2845;;;Onderbanken;0881;;
Bitgum;2722;;;Menaldumadeel;0083;;01-01-2011
Bitgum;2722;;;Menameradiel;1908;01-01-2011;
Bitgummole;2723;;;Menaldumadeel;0083;;01-01-2011
Bitgummole;2723;;;Menameradiel;1908;01-01-2011;
Bladel;1064;;;Bladel;1728;;
Blankenham;2695;;;Steenwijkerland;1708;;
Blaricum;2828;;;Blaricum;0376;;
Blauwestad;3319;08-02-2010;07-04-2011;Oldambt;1895;;
Blauwestad;3509;07-04-2011;;Oldambt;1895;;
Blauwhuis;2401;;;Wymbritseradiel;0683;;01-01-2011
Blauwhuis;2401;;;Súdwest Fryslân;1900;01-01-2011;
Bleiswijk;1689;;;Lansingerland;1621;;
Blesdijke;1720;;;Weststellingwerf;0098;;
Bleskensgraaf ca;1980;;;Graafstroom;0693;;
Blessum;2725;;;Menaldumadeel;0083;;01-01-2011
Blessum;2725;;;Menameradiel;1908;01-01-2011;
Blije;3199;;;Ferwerderadiel;1722;;
Blijham;2232;;;Bellingwedde;0007;;
Blitterswijck;1856;;;Venray;0984;;
Bloemendaal;2654;;;Bloemendaal;0377;;
Blokker;2462;;;Hoorn;0405;;
Blokzijl;2696;;;Steenwijkerland;1708;;
